lat,lng
4.549416839931082279e+01,9.206310300039302064e+00
4.547891200754732210e+01,9.209575107242928382e+00
4.550687769999986898e+01,9.197929199999773431e+00
4.548461740705506173e+01,9.215364760961733737e+00
nan,nan
nan,nan
4.548144996788857242e+01,9.212075521396966948e+00
nan,nan
nan,nan
4.549310040823453960e+01,9.226024815642972499e+00
4.548366802149196531e+01,9.198552974189347253e+00
nan,nan
4.549811620546164903e+01,9.233061533023478873e+00
4.547017044804798047e+01,9.223856237398880609e+00
4.551163789536656168e+01,9.246595357064165910e+00
4.548228681800475925e+01,9.230393785880364632e+00
