lat,lng
4.551137074563035867e+01,9.256406894967479815e+00
4.548661167325867183e+01,9.207145988365894596e+00
4.548086803300957115e+01,9.224577232717038555e+00
4.551404595933166064e+01,9.211960088605755104e+00
4.550129465504524262e+01,9.191327211391818963e+00
4.550130696478140635e+01,9.239643919071259148e+00
4.547583855793024554e+01,9.211260947006625344e+00
4.548185382406919075e+01,9.186845592277171235e+00
4.547323346940376609e+01,9.244756902004180432e+00
4.551719130222622312e+01,9.191497812983273619e+00
4.551513979426281509e+01,9.240823007927632560e+00
4.549625598969834073e+01,9.220326767659978273e+00
4.550559107797457159e+01,9.224469872633427769e+00
4.548571000578374424e+01,9.214949667980146586e+00
4.548787785396211802e+01,9.193377172228059280e+00
4.549598389631150752e+01,9.200381824728845359e+00
4.548191052412729363e+01,9.194825644448384239e+00
4.548879621185954392e+01,9.242757274822047009e+00
4.552544882446258612e+01,9.208589929874817059e+00
4.550955006390212532e+01,9.199429784790654097e+00
4.547096104928540683e+01,9.216572645260791674e+00
4.547190095271707122e+01,9.233114488686371857e+00
4.551734690743215594e+01,9.204585841282341363e+00
4.551783194010968714e+01,9.226828818181411762e+00
4.549380766185907987e+01,9.184907791649623121e+00
4.550890738635262522e+01,9.245473394452364602e+00
4.548970999278127181e+01,9.228942988463030517e+00
4.546865210196467189e+01,9.208911639283082096e+00
4.548409970985136397e+01,9.237726478825507570e+00
4.547101883737456518e+01,9.223417774705069405e+00
4.550198893045168091e+01,9.211057635152918976e+00
4.552168472860009985e+01,9.194849565909848366e+00
4.548573474002873951e+01,9.202478098592212774e+00
4.548151534317097600e+01,9.217080605659113246e+00
4.550898705227151453e+01,9.192490471361786319e+00
4.547461149180778506e+01,9.205604473349428218e+00
4.548984987962445814e+01,9.253160474557638793e+00
4.549470257467627476e+01,9.212576908415291754e+00
4.549465779576296143e+01,9.193310866524063485e+00
4.551589578766755295e+01,9.245690080887843720e+00
4.551330885475847765e+01,9.223409278633569741e+00
4.552185290322975675e+01,9.214647925188138800e+00
4.549903082608258842e+01,9.227543268335791637e+00
4.547838501456467242e+01,9.206801841334190328e+00
4.552079729436496791e+01,9.178837237356972878e+00
4.551176535850710536e+01,9.234358640626423309e+00
4.550870498606648340e+01,9.267337992918612599e+00
4.547688199153551381e+01,9.219915038159745890e+00
4.548177857269803326e+01,9.244307292852351310e+00
4.548825278373923453e+01,9.186666814939776771e+00
4.547789664368561802e+01,9.226043070188291395e+00
4.550941712625490254e+01,9.205905555816800145e+00
4.550217406677488441e+01,9.197202423764712975e+00
4.547929115282725832e+01,9.233577797952548849e+00
4.548081152380326131e+01,9.211335988170278100e+00
4.551090272500000111e+01,9.184230137500000168e+00
4.550391241506980577e+01,9.247873235340593467e+00
4.549379658486527234e+01,9.236452925754035093e+00
4.547866536535808990e+01,9.199322942824759153e+00
4.548881092719980046e+01,9.220988224986168547e+00
