lat,lng
4.549639581876972017e+01,9.209582008245886797e+00
4.548545268599805524e+01,9.205778168500957648e+00
4.548144996788857242e+01,9.212075521396966948e+00
4.548586188071052305e+01,9.216023306082206545e+00
4.547587313702263145e+01,9.206878584655783015e+00
4.549751059655020669e+01,9.225504736209927614e+00
4.547780118040849828e+01,9.226876453731392758e+00
4.547087549420750463e+01,9.218806678976532609e+00
4.548914563761096019e+01,9.187613360092088399e+00
4.548054434655181666e+01,9.198617263541109423e+00
4.550618654833784404e+01,9.243174469184166853e+00
4.549746570462322381e+01,9.197683850608656897e+00
4.551446794601569934e+01,9.194856861992207087e+00
4.551825831683530055e+01,9.212832235696851058e+00
4.548411220000001265e+01,9.240638000000000574e+00
