lat,lng
4.551993555046368556e+01,9.224538508622993405e+00
4.551626276496584467e+01,9.210705864239971064e+00
4.551010898769100521e+01,9.211509246472656898e+00
4.550382658299177052e+01,9.209743931962837138e+00
4.549933684187447369e+01,9.208437884431516451e+00
4.549515430081113720e+01,9.200964994788483509e+00
4.549359114522524550e+01,9.207848175414769187e+00
4.549131373212836849e+01,9.208124195638459852e+00
4.548665344723136883e+01,9.203372564122531685e+00
4.548580695505842186e+01,9.207355416318046437e+00
4.548464641267360520e+01,9.208974503524688160e+00
4.548292712283060979e+01,9.210168172743625092e+00
4.548243379601866820e+01,9.213194171324788684e+00
4.547995938306818431e+01,9.212707732592944510e+00
4.547881367299810051e+01,9.215164456789144865e+00
4.547739206709011484e+01,9.219322409438712285e+00
4.547697796319256014e+01,9.222963678190923886e+00
4.547564996299353623e+01,9.224997088599728556e+00
4.547480031591595662e+01,9.229835573857608111e+00
4.547664225920697589e+01,9.240760316152538678e+00
