lat,lng
4.550811010532324730e+01,9.246585025653322631e+00
4.551734962649030791e+01,9.206673543146106198e+00
4.548594608911798787e+01,9.235652669766960088e+00
4.551203182516769630e+01,9.226647277196311947e+00
4.548188006080432189e+01,9.245700593782080645e+00
4.547190582314529195e+01,9.217916651678400797e+00
4.549719283417125837e+01,9.195978407935978538e+00
4.548720601569067412e+01,9.187571543684926567e+00
4.549203932629693270e+01,9.222455137110248558e+00
4.548416166809953864e+01,9.212350928158691943e+00
4.551928258645645542e+01,9.191599494723689645e+00
4.548253118227932390e+01,9.199952530030326869e+00
4.547584100833041987e+01,9.206924718713903388e+00
4.549562385329728187e+01,9.207536915324263660e+00
4.548010145319766195e+01,9.224485710360285751e+00
4.547158499479989047e+01,9.231066373741485975e+00
4.549935831363001171e+01,9.226873982564855581e+00
4.550791529426707172e+01,9.193442520678491547e+00
