lat,lng
4.551285014821123553e+01,9.192952715082547854e+00
4.549851643093111164e+01,9.230270349594766444e+00
4.547671501983547415e+01,9.226433915502605387e+00
4.551684691133866068e+01,9.208627867657453336e+00
4.548462490097789868e+01,9.201317067283303786e+00
4.549774991131603485e+01,9.195504837768787354e+00
4.548579164326442736e+01,9.187279759273568658e+00
4.548361322973653387e+01,9.242351779231508857e+00
4.549611126550116325e+01,9.213958757563871060e+00
4.551034780950252667e+01,9.243701450820791976e+00
4.551547773393831875e+01,9.225621849737970948e+00
4.547154057223554702e+01,9.213636411763859613e+00
4.551006992204143131e+01,9.261096931224420459e+00
4.548543571441566513e+01,9.216738985395778627e+00
4.547780116696048935e+01,9.208235001888644078e+00
