,Unnamed: 0,bin_serial,Latitudine,Longitudine,counts,Cluster_labels,Silhouette
0,2598,4318007846,45.51547139894928,9.204896912537038,1,3,0.47527101221646545
1,2183,4118007165,45.48954162548493,9.20110833795593,4,4,0.34998508124124417
2,1788,4118006530,45.49139462646265,9.205084178534893,4,8,-0.1994496920460526
3,3077,5018009813,45.50346260172154,9.246132765610467,4,9,0.47255968629814304
4,2747,4318008055,45.48257271131956,9.191300931599473,5,6,0.3734256862346728
5,2959,5018009571,45.491168940355074,9.22612242585808,6,1,0.031920930484558796
6,1025,1419015690,45.50939685045845,9.267616573839176,6,12,0.6925133071690945
7,1101,3718005496,45.47742841657715,9.205091074832694,6,14,0.49850412307979663
8,1293,3718005795,45.486161095089024,9.215013481443409,8,13,0.668847543068841
9,2749,4318008059,45.49473348865012,9.1993772328492,10,5,0.42109057832227426
10,431,219011891,45.475312509879295,9.218047556150054,10,11,0.28124591727877435
11,2498,4318007727,45.51241296095049,9.22473896206634,12,10,0.7168493165433372
12,2663,4318007951,45.51654321810607,9.205971993231287,13,3,0.5465060759201442
13,2036,4118007000,45.51476459261757,9.205109709436442,14,3,0.473058331956397
14,2314,4318007500,45.490241983602345,9.222250678752744,14,13,0.28333265702438765
15,1907,4118006719,45.48416745066899,9.200344110157516,18,4,0.5123995790682612
16,265,219011716,45.47790497272714,9.210802512301145,20,14,0.48663626137258625
17,2629,4318007890,45.507459000000004,9.185115,20,0,0.20804391270743908
18,1153,3718005560,45.518199107966346,9.224902702601185,24,10,0.7359405649226348
19,2239,4318007407,45.501167790263345,9.195992535146273,26,5,0.5517760657556873
20,480,519011942,45.47701082661985,9.216852982457569,27,11,0.17642778258929287
21,2882,5018009384,45.48203867282654,9.247303785142776,29,7,0.6083409698830782
22,2402,4318007608,45.48637855494542,9.218234387006873,30,13,0.6570958520450145
23,1899,4118006700,45.4841672,9.1955812,31,4,0.2407272312444199
24,1822,4118006579,45.4957343614367,9.191996015860813,32,5,0.4808618501610993
25,423,219011883,45.47076241570392,9.208532695894178,34,11,0.13848970388485313
26,1729,4118006451,45.5066592,9.1975117,34,0,0.06970096123664422
27,1615,3718006279,45.46998347938077,9.21598463553903,35,11,0.5424461379924717
28,2762,4318008079,45.49228651379215,9.192962403247293,38,5,0.2580388263410777
29,94,219010953,45.51232774509928,9.24152280416456,39,9,0.5877401236234101
30,371,219011826,45.47477429999999,9.2105629,40,14,0.22432399900018438
31,1454,3718006057,45.48982698418544,9.20075300971439,42,4,0.3013306524336368
32,2055,4118007022,45.488774316790675,9.190992552219997,44,6,0.33859704890295345
33,38,119010885,45.506418599999996,9.2371724,46,9,0.23616915680987485
34,463,219011925,45.4748099,9.2210424,47,2,0.1641735181827912
35,1979,4118006925,45.48640212668874,9.244632555779276,47,7,0.6133385002239913
36,2617,4318007870,45.48372539450371,9.187072843245687,48,6,0.6359985584315753
37,1357,3718005917,45.47146002699211,9.213322808359068,50,11,0.4393702203958541
38,2037,4118007001,45.489746132686605,9.201435142221273,51,4,0.33967818917869236
39,2308,4318007493,45.46915577282735,9.208560553956543,52,11,0.26324770418518806
40,992,1419015268,45.477701813452384,9.225791262520488,53,2,0.6211027997324379
41,2484,4318007707,45.474368278232184,9.234338967171198,53,2,0.31255542534641795
42,1519,3718006166,45.48536305029974,9.208912896456807,53,4,-0.008545092190259836
