lat,lng
4.551928258645645542e+01,9.191599494723689645e+00
4.548916620993659166e+01,9.235534545562556374e+00
4.548679434287196699e+01,9.215859152003273991e+00
4.548834144293913795e+01,9.187679448238748492e+00
4.551914660684933978e+01,9.207840038662675752e+00
4.548724411492749198e+01,9.254094865626409927e+00
4.547503176492035948e+01,9.221053044837759671e+00
4.547745592928472291e+01,9.204977149158004579e+00
4.550428270909272754e+01,9.237216343770366933e+00
4.551009593068965842e+01,9.245988320340554623e+00
4.551682577235456506e+01,9.225476876760019707e+00
4.550278345738946228e+01,9.196789987016522616e+00
4.549900516533404726e+01,9.210027515816141985e+00
4.550340113639874318e+01,9.223925136423821058e+00
4.547895254448095415e+01,9.244275809758951468e+00
4.547220750308446924e+01,9.232696457767779918e+00
4.548823011694127416e+01,9.202711034061447748e+00
4.551074812151312443e+01,9.258240987035408764e+00
