lat,lng
4.550956103127031582e+01,9.225489439543439474e+00
4.549392198589927006e+01,9.235397926597373797e+00
4.551771592948925615e+01,9.191716536822937655e+00
4.551068014533469608e+01,9.259948471465143882e+00
4.550055335233506781e+01,9.195131398454869043e+00
4.548080076758508028e+01,9.240714123086860354e+00
4.551616922791554742e+01,9.208434216933486738e+00
4.547564525802588520e+01,9.224118698855601650e+00
4.551014726634181784e+01,9.243429937645018413e+00
4.548602207335110137e+01,9.188522340858666482e+00
4.549003512645415981e+01,9.252447148371118146e+00
4.552341346364151065e+01,9.177452011084868744e+00
4.548688201271102116e+01,9.216937579278130954e+00
4.547980626342808819e+01,9.206032754310742305e+00
4.549898897320449720e+01,9.210466560519680712e+00
