lat,lng
4.548077763237652249e+01,9.226053875767400214e+00
4.551408080809636658e+01,9.194275188493062245e+00
4.548254879708599674e+01,9.200268584829581542e+00
4.551196747702054068e+01,9.226466897755944530e+00
4.548323067082307603e+01,9.243279017042207002e+00
4.548841302208515458e+01,9.187597530766751674e+00
4.551008448674972584e+01,9.248934240037881338e+00
4.549516980180146675e+01,9.220345508954222780e+00
4.551924347786287939e+01,9.209103487036646385e+00
4.547531465180116328e+01,9.207400981424980202e+00
4.549759701010035684e+01,9.199907190116254796e+00
4.549624791668426127e+01,9.234743305925581680e+00
4.548479785912305573e+01,9.212320361431219240e+00
4.547223787615106261e+01,9.218366400381938774e+00
4.547187326508924343e+01,9.232268569177934481e+00
