,Unnamed: 0,bin_serial,row_id,id,bin_level,occluded,created_at,detected_at,raw_data_id,raw_data_setting_id,Seriale,DataUltimaRilevazione,DataUltimaTrasmissione,DataPrimaInstallazione,Esterno,Latitudine,Longitudine,Indirizzo,Cap,UnitaTerritoriale,Viario,Tronco,AreaGestionale,TipoAnomalia,to_visit,date,hour,Cluster_labels,Silhouette
0,0,119010133,682,15215101,4,1,2019-09-06 10:41:11,2019-09-06 10:41:07,259858832,21,119010133,2019-04-11 11:27:20,2019-04-11 11:42:20,2019-08-03 07:37:34,Si,45.475771325512106,9.223805763673113,VIALE ROMAGNA 60,20133,1 - OLGETTINA,3102.0,210.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,10,1,0.4678538034209655
1,1,119010137,1493,15197040,4,1,2019-09-06 06:28:37,2019-09-06 06:28:35,259672420,21,119010137,2019-04-11 09:16:02,2019-04-11 12:01:37,2019-08-03 07:36:05,Si,45.475586299999996,9.2239964,VIALE ROMAGNA,20133,1 - OLGETTINA,3102.0,211.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,6,1,0.43870977821523705
2,2,119010245,2731,15216278,4,1,2019-09-06 10:58:37,2019-09-06 10:58:34,259871692,21,119010245,2019-04-11 10:29:47,2019-04-11 12:00:03,2019-04-18 07:23:37,Si,45.47946011139743,9.235383953813084,VIA CLERICETTI CELESTE 38,20133,1 - OLGETTINA,2221.0,5.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,10,6,0.24026613036449823
3,3,119010255,3222,15214287,2,2,2019-09-06 10:28:53,2019-09-06 10:28:52,259849878,21,119010255,2019-04-11 11:30:17,2019-04-11 11:30:17,2019-04-17 08:12:51,Si,45.51743130039819,9.225976688987998,VIALE MONZA 315,20126,1 - OLGETTINA,2274.0,120.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,10,3,0.662610444464061
4,4,119010256,3512,15215293,3,1,2019-09-06 10:44:11,2019-09-06 10:44:05,259861088,21,119010256,2019-04-11 09:15:19,2019-04-11 11:45:45,2019-04-18 07:39:30,Si,45.48437650745299,9.236505957268491,PIAZZA BOTTINI ENRICO,20133,1 - OLGETTINA,2572.0,22.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,10,6,0.46569400160506663
5,5,119010258,4021,15207914,4,1,2019-09-06 09:04:57,2019-09-06 09:04:54,259788064,21,119010258,2019-04-11 09:20:45,2019-04-11 11:36:06,2019-04-18 07:32:07,Si,45.484212447609465,9.236221346508387,PIAZZA BOTTINI ENRICO 4,20133,1 - OLGETTINA,2572.0,15.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,9,6,0.47814778125704227
6,6,119010277,4543,15210064,4,1,2019-09-06 09:28:52,2019-09-06 09:28:49,259805667,21,119010277,2019-04-11 12:00:17,2019-04-11 12:00:17,2019-04-18 08:55:03,Si,45.473435525074905,9.230480336576989,VIA STRAMBIO GAETANO 10,20133,1 - OLGETTINA,3168.0,12.0,22 - CITTA' STUDI - LAMBRATE,,1,20190906,9,16,0.42755054550877836
7,7,119010870,5895,15212595,4,1,2019-09-06 10:01:44,2019-09-06 10:01:41,259829957,21,119010870,2019-03-11 12:33:27,2019-04-11 12:03:15,2019-06-03 08:26:28,Si,45.507655299999996,9.2366652,VIA PONTE NUOVO 40,20128,1 - OLGETTINA,2494.0,50.0,20 - PADOVA - ADRIANO,,1,20190906,10,4,0.4405984195921634
8,8,119010873,6873,15215713,3,1,2019-09-06 10:50:37,2019-09-06 10:50:34,259865876,21,119010873,2019-04-11 11:51:39,2019-04-11 11:51:39,2019-06-03 10:16:31,Si,45.51255820000001,9.229107699999998,VIA DON PORRO CARLO 23,20128,1 - OLGETTINA,2599.0,5.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,10,3,0.43398315237165525
9,9,119010877,7202,15203579,4,1,2019-09-06 08:12:48,2019-09-06 08:12:47,259749645,21,119010877,2019-04-11 11:44:03,2019-04-11 11:44:03,2019-06-03 09:09:01,Si,45.5063343,9.226065400000001,VIA STEFANARDO DA VIMERCATE,20128,1 - OLGETTINA,2456.0,20.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,8,15,0.44291272809192345
10,10,119010878,7587,15201947,4,2,2019-09-06 07:52:02,2019-09-06 07:36:56,259734241,21,119010878,2019-08-10 14:53:47,2019-09-10 06:22:33,2019-06-03 08:13:17,Si,45.505207500000004,9.2378344,VIA PONTE NUOVO,20128,1 - OLGETTINA,2494.0,20.0,20 - PADOVA - ADRIANO,ANOMALIA TX,1,20190906,7,4,0.5739333312137708
11,11,119010884,8972,15203566,4,1,2019-09-06 08:12:44,2019-09-06 08:12:38,259749531,21,119010884,2019-04-11 11:14:13,2019-04-11 11:44:18,2019-06-03 09:45:01,Si,45.5135534,9.234003999999999,VIA PONTE NUOVO,20128,1 - OLGETTINA,2494.0,56.0,19 - GORLA - VILLA SAN GIOVANNI,,1,20190906,8,3,0.2734086367540424
