lat,lng
4.551506776912194852e+01,9.191177594997657962e+00
4.547435488739578346e+01,9.235809860559852424e+00
4.548328169088483719e+01,9.201468473636129630e+00
4.550899767290817266e+01,9.241854857507753707e+00
4.551689536995963437e+01,9.208469086665195036e+00
4.548381234870913659e+01,9.213806552845772657e+00
4.549549904499043151e+01,9.214895367987793406e+00
4.548663267152195289e+01,9.187713588137407683e+00
4.550904684246788889e+01,9.256476021270445997e+00
4.549853547895162365e+01,9.196348639980159945e+00
4.547433103662547182e+01,9.208524602583379348e+00
4.551325548015115174e+01,9.225194270989518941e+00
4.547627453757075244e+01,9.223689925641531673e+00
4.549481523005094630e+01,9.230696561748395368e+00
4.548459495158015642e+01,9.243697595160890401e+00
