lat,lng
4.551375991715954683e+01,9.193085268469644689e+00
4.548608361657868215e+01,9.206704302431260700e+00
4.548439766761634928e+01,9.201966207010855214e+00
4.549790958644332051e+01,9.195479510177506199e+00
4.548785832132065110e+01,9.212917649524001718e+00
4.549753413852541684e+01,9.212830512471557043e+00
4.548631743475324640e+01,9.188571849261963465e+00
4.548252410000000623e+01,9.241235800000000111e+00
4.551723570000000052e+01,9.209584199999998333e+00
4.551337257541718628e+01,9.225025027584022652e+00
4.549231210000000658e+01,9.229357000000000255e+00
4.548361768328792465e+01,9.214697373372699118e+00
4.548637855494541782e+01,9.218234387006873476e+00
4.547759574980768349e+01,9.226405072233886173e+00
4.547341099999999869e+01,9.218836400000000708e+00
4.547957145843085414e+01,9.211194772762837601e+00
4.550889433973792109e+01,9.246752740856212682e+00
4.547439447484214980e+01,9.206444446483716959e+00
