,Unnamed: 0,bin_serial,row_id,id,bin_level,occluded,created_at,detected_at,raw_data_id,raw_data_setting_id,Seriale,DataUltimaRilevazione,DataUltimaTrasmissione,DataPrimaInstallazione,Esterno,Latitudine,Longitudine,Indirizzo,Cap,UnitaTerritoriale,Viario,Tronco,AreaGestionale,TipoAnomalia,to_visit,date,hour,Cluster_labels,Silhouette
0,0,119010130,24,14963107,3,1,2019-09-03 11:09:19,2019-09-03 10:54:14,256678079,21,119010130,2019-10-29 12:40:20,2019-10-30 10:40:02,2019-08-03 09:34:25,Si,45.48071229999999,9.225236500000001,VIA PACINI G. 4,20131,1 - OLGETTINA,2571.0,75.0,22 - CITTA' STUDI - LAMBRATE,,1,20190903,10,8,0.7119159019203561
1,1,119010133,650,14960259,4,1,2019-09-03 10:41:01,2019-09-03 10:25:58,256657327,21,119010133,2019-04-11 11:27:20,2019-04-11 11:42:20,2019-08-03 07:37:34,Si,45.475771325512106,9.223805763673113,VIALE ROMAGNA 60,20133,1 - OLGETTINA,3102.0,210.0,22 - CITTA' STUDI - LAMBRATE,,1,20190903,10,14,-0.2600456147938285
2,2,119010137,1453,14956461,4,1,2019-09-03 09:59:10,2019-09-03 09:59:07,256626653,21,119010137,2019-04-11 09:16:02,2019-04-11 12:01:37,2019-08-03 07:36:05,Si,45.475586299999996,9.2239964,VIALE ROMAGNA,20133,1 - OLGETTINA,3102.0,211.0,22 - CITTA' STUDI - LAMBRATE,,1,20190903,9,14,-0.22133792041703615
3,3,119010141,2137,14943124,2,2,2019-09-03 07:32:36,2019-09-03 07:17:36,256518831,21,119010141,2019-04-11 09:19:07,2019-04-11 12:04:32,2019-08-03 07:28:02,Si,45.47334970007097,9.224067013136846,VIA BOTTICELLI SANDRO 1,20133,1 - OLGETTINA,3203.0,10.0,22 - CITTA' STUDI - LAMBRATE,,1,20190903,7,14,0.21402920102470918
4,4,119010245,2722,14945453,4,1,2019-09-03 07:58:09,2019-09-03 07:58:03,256537635,21,119010245,2019-04-11 10:29:47,2019-04-11 12:00:03,2019-04-18 07:23:37,Si,45.47946011139743,9.235383953813084,VIA CLERICETTI CELESTE 38,20133,1 - OLGETTINA,2221.0,5.0,22 - CITTA' STUDI - LAMBRATE,,1,20190903,7,4,0.3476147820287742
5,5,119010258,3991,14946000,4,2,2019-09-03 08:04:44,2019-09-03 08:04:38,256542432,21,119010258,2019-04-11 09:20:45,2019-04-11 11:36:06,2019-04-18 07:32:07,Si,45.484212447609465,9.236221346508387,PIAZZA BOTTINI ENRICO 4,20133,1 - OLGETTINA,2572.0,15.0,22 - CITTA' STUDI - LAMBRATE,,1,20190903,8,4,0.5200185301754838
6,6,119010277,4506,14938534,4,2,2019-09-03 06:58:51,2019-09-03 06:48:18,256493518,21,119010277,2019-04-11 12:00:17,2019-04-11 12:00:17,2019-04-18 08:55:03,Si,45.473435525074905,9.230480336576989,VIA STRAMBIO GAETANO 10,20133,1 - OLGETTINA,3168.0,12.0,22 - CITTA' STUDI - LAMBRATE,,1,20190903,6,14,0.38618330529922834
7,7,119010282,4871,14948601,4,1,2019-09-03 08:35:07,2019-09-03 08:35:05,256564863,21,119010282,2019-04-11 09:21:13,2019-04-11 11:36:31,2019-04-18 08:31:49,Si,45.473563372686385,9.234392811922929,VIA GOLGI CAMILLO 29,20133,1 - OLGETTINA,2220.0,20.0,22 - CITTA' STUDI - LAMBRATE,,1,20190903,8,14,0.3514245776326287
8,8,119010866,5641,14958199,2,2,2019-09-03 10:18:28,2019-09-03 10:03:27,256640944,21,119010866,2019-04-11 11:19:38,2019-04-11 11:49:43,2019-06-03 09:43:42,Si,45.5137446,9.233987400000002,VIA PONTE NUOVO,20128,1 - OLGETTINA,2494.0,56.0,20 - PADOVA - ADRIANO,,1,20190903,10,13,-0.09039223042818254
9,9,119010870,5845,14959381,4,2,2019-09-03 10:31:39,2019-09-03 10:16:38,256650531,21,119010870,2019-03-11 12:33:27,2019-04-11 12:03:15,2019-06-03 08:26:28,Si,45.507655299999996,9.2366652,VIA PONTE NUOVO 40,20128,1 - OLGETTINA,2494.0,50.0,20 - PADOVA - ADRIANO,,1,20190903,10,13,-0.21259757689097683
