lat,lng
4.550864497978582079e+01,9.225865383580243773e+00
4.549263781717845490e+01,9.227315789963377313e+00
4.548006985189496021e+01,9.224683054810885352e+00
4.548434278941414988e+01,9.213104797613015151e+00
4.548240974667675829e+01,9.200125138061000740e+00
4.550818332947313394e+01,9.246768196128218875e+00
4.549107068223299422e+01,9.187733027772242878e+00
4.547579955054544598e+01,9.207212899115678084e+00
4.551831332621987514e+01,9.207572163051391811e+00
4.549901342406098337e+01,9.200497017247071696e+00
4.548520684412081749e+01,9.206387098807521596e+00
4.548104759378166762e+01,9.188236920610574288e+00
4.548200875129898435e+01,9.245633149450970478e+00
4.547238490720226167e+01,9.218223612170021397e+00
4.547660858656026761e+01,9.232590511809702249e+00
4.551895113273063487e+01,9.191963983224088253e+00
