lat,lng
4.549993672336857031e+01,9.199707133732918152e+00
4.549639897327255511e+01,9.224399071011195161e+00
4.547857679852747026e+01,9.225982088402117753e+00
4.549070176764139717e+01,9.189168380046782048e+00
4.547311642621413341e+01,9.220044287297216812e+00
4.548203581039381760e+01,9.198865295012543797e+00
4.548598074887423337e+01,9.207150854512878624e+00
4.551533960013485114e+01,9.191279618437251386e+00
4.550870498606648340e+01,9.267337992918612599e+00
4.547771216944826733e+01,9.208510430595474361e+00
4.548204307493907095e+01,9.186323829964205601e+00
4.551762350167704341e+01,9.209724571574886554e+00
4.551547773393831875e+01,9.225621849737970948e+00
4.548461365881971830e+01,9.215951915557363705e+00
4.550783056496208445e+01,9.243920717402268394e+00
4.546890451425722546e+01,9.208794363963892948e+00
4.548152499291961703e+01,9.240403571672537453e+00
