lat,lng
4.551966474041478961e+01,9.221967734857688725e+00
4.551406569774065503e+01,9.211148222472969493e+00
4.550622520619942435e+01,9.210762107035474600e+00
4.549980400651455170e+01,9.208422038040280810e+00
4.549507340588147741e+01,9.202358800831722974e+00
4.549224900659785931e+01,9.205287766931585125e+00
4.548899136713927760e+01,9.207619585070242252e+00
4.548582113619740852e+01,9.206423138912082749e+00
4.548475386479092464e+01,9.209783542150356439e+00
4.548270772679837393e+01,9.211110077300913801e+00
4.548092419200145287e+01,9.212664420532266973e+00
4.547902129863819454e+01,9.214671466396874067e+00
4.547685609915502170e+01,9.218823500186793751e+00
4.547758663266628787e+01,9.225054484227802831e+00
4.547434968324892424e+01,9.226330148311539858e+00
4.547621050034813805e+01,9.238569551974753935e+00
