lat,lng
4.551860930132539096e+01,9.231082711496622295e+00
4.551695097372478926e+01,9.213098502430494108e+00
4.551337113400218470e+01,9.210845425489688765e+00
4.550843123103007315e+01,9.205873954285644700e+00
4.550221036536065355e+01,9.204165410051469820e+00
4.549744081832908904e+01,9.205266796682828101e+00
4.549399665441818996e+01,9.206183233696918933e+00
4.548884757618468200e+01,9.202356017861742288e+00
4.548540104761111991e+01,9.202120233958927642e+00
4.548509327856631046e+01,9.208081186469772916e+00
4.548317008602904821e+01,9.211648205109034038e+00
4.548093215826058611e+01,9.213243037745366237e+00
4.547812497792979514e+01,9.214392283726919430e+00
4.547678345016556278e+01,9.220163439542822914e+00
4.547673287818798826e+01,9.223862935003159791e+00
4.547632078787649590e+01,9.227516614413710627e+00
4.547759570750603331e+01,9.238958602118394481e+00
