lat,lng
nan,nan
4.547298698921904503e+01,9.215178181476369801e+00
nan,nan
4.547427932412472273e+01,9.232355993556348395e+00
4.550081668048854766e+01,9.190225271986376399e+00
4.550331020347464772e+01,9.239319729027094752e+00
4.547877789361861289e+01,9.213197301752426682e+00
4.550746310000000250e+01,9.224725099999998790e+00
4.548650359995014014e+01,9.242503399986064849e+00
4.549120870071322997e+01,9.215925249139683473e+00
4.552230264986002339e+01,9.191966359193790126e+00
4.549018875738653378e+01,9.183418268235527648e+00
4.548267473662901494e+01,9.233062399496606787e+00
4.548612165261291551e+01,9.205021102627258145e+00
4.548504139204928265e+01,9.210509248272726879e+00
4.549228972564359452e+01,9.224362453307318077e+00
4.550753531523792361e+01,9.204296403144669014e+00
4.548245562203529602e+01,9.195250400745974773e+00
