nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	20896	29477.5	33401.1	32537.43	35224	45095.7	488.06	distance
n16	20896	24620.57	33095.5	31183.02	35181.2	45095.7	498.93	distance
n17	20604.7	23913.7	31949.3	29728.43	34552.4	45095.7	505.38	distance
n18	20604.7	23222.8	26910.25	29020.58	34416.25	45095.7	522.37	distance
n19	12311.6	21445.8	26814.8	27758.68	34280.1	45095.7	527.41	distance
n20	12311.6	21033.7	26799.65	26948.27	34143.95	36311.6	538.97	distance
n15	2886.1	3881.7	4637.1	4370.22	4844.1	6351.3	18.21	time
n16	2845.4	3197.6	4329.2	4179.19	4818.95	6351.3	18.57	time
n17	2157.6	3105.5	4095.2	3983.13	4793.8	6351.3	18.81	time
n18	2157.6	3002.75	3603.95	3878.43	4759.9	6351.3	19.39	time
n19	1647.7	2927.3	3539.7	3704.03	4726	6351.3	19.55	time
n20	1647.7	2875.93	3480.9	3581.07	4692.1	5083.8	19.89	time
n15	53	66	85	92.47	116	172	1387	nBins
n16	53	62.25	76	86.69	104.75	172	1387	nBins
n17	50	60	73	81.59	96	172	1387	nBins
n18	29	54.75	71.5	77.06	93.25	172	1387	nBins
n19	29	51.5	70	73	90.5	172	1387	nBins
n20	18	45	66	69.35	87.75	172	1387	nBins
