nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	9366.9	28229.75	33977.2	34239.88	41266.9	50387.6	513.6	distance
n16	9366.9	28410.07	33271.5	33147.33	40668.57	50387.6	530.36	distance
n17	9366.9	25105.4	32223.1	31543.53	40581.2	50387.6	536.24	distance
n18	9366.9	23689.92	31315.55	30452.89	34910.2	50387.6	548.15	distance
n19	9366.9	24161.75	30408	29582.04	33701.5	50387.6	562.06	distance
n20	9366.9	22641.27	29499.2	28528.62	33563.65	50387.6	570.57	distance
n15	1185.7	3639.85	4620.1	4668.19	5908.55	7145	19.45	time
n16	1185.7	3645.23	4474.2	4502.62	5703.55	7145	20.01	time
n17	1185.7	3084	4404.5	4275.01	5691.6	7145	20.19	time
n18	1185.7	3032.7	4161.05	4126.13	4834.2	7145	20.63	time
n19	1185.7	3049.8	3917.6	3988.22	4662.05	7145	21.05	time
n20	1185.7	3003.93	3815	3843.01	4641.07	7145	21.35	time
n15	24	92	112	117.33	142	247	1760	nBins
n16	24	72.25	108	110	141	247	1760	nBins
n17	24	63	103	103.53	140	247	1760	nBins
n18	24	59.25	92	97.78	133.75	195	1760	nBins
n19	24	60.5	81	92.63	113.5	195	1760	nBins
n20	24	51	78.5	88	112.75	195	1760	nBins
