nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	8820.4	20613.05	28600.8	31989.93	40346.25	68631.4	479.85	distance
n16	8820.4	19590.25	27692.65	30504.28	39704.32	68631.4	488.07	distance
n17	8820.4	19597.1	28600.8	29475.63	39062.4	45948	501.09	distance
n18	8820.4	18896.95	25090.85	28233.95	38977.97	45948	508.21	distance
n19	8820.4	19121.2	23397.2	27713.28	38893.55	45948	526.55	distance
n20	8820.4	19345.45	23166.45	26916.82	37686.77	45948	538.34	distance
n15	1055.3	2604.15	3539.7	4298.82	5647.55	9896.9	17.91	time
n16	1055.3	2626.02	3478.2	4094.16	5536.77	9896.9	18.2	time
n17	1055.3	2647.9	3539.7	3938.21	5426	6414.6	18.6	time
n18	1055.3	2306.07	3163.25	3765.11	5400.55	6414.6	18.83	time
n19	1055.3	2390.85	2786.8	3687.45	5375.1	6414.6	19.46	time
n20	1055.3	2475.62	2812.6	3567.25	5258.87	6414.6	19.82	time
n15	10	31	61	92.47	107	300	1387	nBins
n16	10	32	58	86.69	107	300	1387	nBins
n17	10	33	61	81.59	107	202	1387	nBins
n18	10	30	49.5	77.06	107	202	1387	nBins
n19	1	28	44	73	107	202	1387	nBins
n20	1	28	49.5	69.35	107	202	1387	nBins
