nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	9463.9	24851.45	30891.9	34002.04	46599.4	67807.1	510.03	distance
n16	9463.9	22211.97	28903.75	32378.43	45261.3	67807.1	518.05	distance
n17	9463.9	22061.8	26510.4	31491.17	43923.2	67807.1	535.35	distance
n18	9463.9	19551.85	24671.6	30214.64	41199.35	67807.1	543.86	distance
n19	9463.9	19833.3	24692.3	29292.46	36899.7	67807.1	556.56	distance
n20	1763.9	19156.7	23955.2	27903.82	34963.75	67807.1	558.08	distance
n15	1254.1	3008.65	4135.8	4615.78	6687.75	9813.9	19.23	time
n16	1254.1	2531.5	3678.55	4384.36	6437.38	9813.9	19.49	time
n17	1254.1	2595.9	3421.4	4244.64	6187	9813.9	20.04	time
n18	1254.1	2402.7	3221.35	4069.06	5718.08	9813.9	20.35	time
n19	1254.1	2467.1	3084	3925.35	5084.6	9813.9	20.72	time
n20	201.9	2299.75	3057.4	3736.3	4697.95	9813.9	20.76	time
n15	3	42	100	117.33	146	350	1760	nBins
n16	3	46.75	78.5	110	146	350	1760	nBins
n17	3	28	78	103.53	146	350	1760	nBins
n18	3	27.25	58	97.78	145.25	350	1760	nBins
n19	3	27.5	53	92.63	126.5	350	1760	nBins
n20	3	24.5	52.5	88	118.25	350	1760	nBins
