nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	20617.9	27632.15	34102.1	32623.61	37501.8	43639.9	489.35	distance
n16	19975.7	23877.45	32601.4	31268.42	35900.12	42038.8	500.29	distance
n17	20006	22680.3	32286.7	30138.01	34621.8	40160.6	512.35	distance
n18	17252.3	21762.02	32351.1	29097.82	34236.32	40439.3	523.76	distance
n19	16496.7	23200.25	27941.1	28003.57	33102.85	38334.4	532.07	distance
n20	19975.7	23716.07	27730.8	27769.45	32164.03	35661	555.39	distance
n15	2543.9	3615.3	4494.1	4369.73	5163.95	6223.6	18.21	time
n16	2459.9	3154.88	4445.7	4185.94	4927.42	5821.3	18.6	time
n17	2425.1	3190.7	3984.3	4021.01	4595.3	5683.4	18.99	time
n18	2093.4	3009.15	4049.05	3873.27	4591.32	5683.4	19.37	time
n19	1907.5	2955	3697	3727.17	4591.95	5412.3	19.67	time
n20	2337.1	3298.77	3667.95	3700.09	4222.72	4938	20.56	time
n15	45	68	93	92.47	113.5	169	1387	nBins
n16	42	58	72	86.69	113.25	174	1387	nBins
n17	43	59	70	81.59	99	156	1387	nBins
n18	22	54	67.5	77.06	98.5	156	1387	nBins
n19	36	51	64	73	87.5	149	1387	nBins
n20	36	48.75	56.5	69.35	83.25	152	1387	nBins
