nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	13626.4	30658.85	36427.1	34936.84	41372.8	46065	524.05	distance
n16	13626.4	28414.6	35236.95	33633.83	38799.22	44946.1	538.14	distance
n17	13626.4	27171.3	31769	32393.59	40778.5	45295	550.69	distance
n18	10038.8	27699.97	33260.7	30830.77	35031.87	39308.5	554.95	distance
n19	10038.8	26371.95	31757.1	29881.15	34316.6	41275.4	567.74	distance
n20	13626.4	21789.72	29248.35	28740.32	33457.97	42546.8	574.81	distance
n15	1718.1	3913.65	4961.2	4773.57	5750.4	6450.7	19.89	time
n16	1718.1	3677.98	4757.4	4557.59	5495.8	6468.5	20.26	time
n17	1718.1	3691.6	4422.2	4388.82	5453.4	6342.3	20.72	time
n18	1245.5	3626.15	4470.65	4184.22	4847.8	5626.7	20.92	time
n19	1245.5	3334.9	4214.6	4027.37	4812.6	5915.3	21.26	time
n20	1718.1	2951.9	3970.3	3861.41	4548	5932.3	21.45	time
n15	26	90.5	99	117.33	161	219	1760	nBins
n16	25	82.5	101	110	137	218	1760	nBins
n17	25	87	97	103.53	128	164	1760	nBins
n18	22	76.75	91.5	97.78	111.5	185	1760	nBins
n19	22	62.5	87	92.63	100.5	167	1760	nBins
n20	26	58.5	85	88	119.25	159	1760	nBins
