nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	24527.8	29201.2	32788.5	33201.08	37845.2	40658.7	498.02	distance
n16	23614.3	27199.05	33170.45	31920.11	36291.47	39064	510.72	distance
n17	19626.1	24325.9	30578.4	30741.08	36263.7	39998.9	522.6	distance
n18	18819.5	22955.77	28235.1	29532.33	36025	39748	531.58	distance
n19	18188.8	22580.75	26906	28460.72	35446	39748	540.75	distance
n20	18589.4	21773	27930.05	27890.4	33446.52	37569.9	557.81	distance
n15	3339.8	3884.65	4294.6	4454.66	4986.75	5603.5	18.56	time
n16	2942	3383.72	4495.05	4282.62	4913.7	5340.3	19.03	time
n17	2355.8	3196.1	4171.9	4082.51	4912.1	5460.3	19.28	time
n18	2408.9	3060.75	3847.85	3945.21	4887.28	5491	19.73	time
n19	2281.1	2822	3735.1	3783.65	4772.9	5491	19.97	time
n20	2400.3	2906.18	3740.8	3710.86	4500.48	5027.4	20.62	time
n15	51	81	84	92.47	108.5	124	1387	nBins
n16	60	70.25	80	86.69	103.5	123	1387	nBins
n17	34	67	76	81.59	92	146	1387	nBins
n18	44	64	71.5	77.06	95.25	117	1387	nBins
n19	33	58	66	73	91.5	117	1387	nBins
n20	35	55	66.5	69.35	73.75	143	1387	nBins
