nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	23073.1	27862.9	33624.4	35162.98	35909.5	58632	527.44	distance
n16	20590.2	27021.15	33619.2	33427.37	38215.75	45788	534.84	distance
n17	19518.2	27434.1	32130.4	32471.09	37172.3	45788	552.01	distance
n18	15173.2	23519.35	31278.7	31123.17	35999.32	45788	560.22	distance
n19	17492.6	24246.25	31050.3	30477.75	35821.9	47632	579.08	distance
n20	15211.2	20944.05	28427.65	29223.84	35530.25	45788	584.48	distance
n15	2922.1	3776.05	4468.1	4762.35	4887.9	8404.9	19.84	time
n16	2788.6	3409.55	4500.55	4524.3	5259.68	6568	20.11	time
n17	2555	3451.5	4198.1	4384.3	5221.2	6568	20.7	time
n18	1874.4	3088.37	4270.4	4197.92	4930.6	6568	20.99	time
n19	2044.1	3013.95	4142.3	4088.15	4800.45	6748.2	21.58	time
n20	2031	2543.45	3954.2	3924.51	4811.8	6568	21.8	time
n15	65	83	114	117.33	138	194	1760	nBins
n16	52	92.25	115.5	110	124.25	195	1760	nBins
n17	39	77	102	103.53	125	198	1760	nBins
n18	23	60	109	97.78	120.75	179	1760	nBins
n19	39	68.5	96	92.63	112.5	178	1760	nBins
n20	26	48.25	90	88	119.75	182	1760	nBins
