nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	14698.5	23622.9	30059.9	32815.98	40300.25	58004.3	492.24	distance
n16	14698.4	24744.3	31239.1	31409.18	37133.6	54734.5	502.55	distance
n17	14698.4	24744.5	29585.7	30333.38	37842.1	43538.3	515.67	distance
n18	14698.4	24058.5	30334.6	29617.35	33561.9	42914.9	533.11	distance
n19	14698.4	23535.95	28228.3	28508.07	32380.7	42174.3	541.65	distance
n20	14698.4	23625.77	27407.25	27858.31	32874.3	41786.1	557.17	distance
n15	1957.8	3163.8	4039	4423.13	5608.6	8293	18.43	time
n16	1957.8	3243.12	4131	4221.55	4911.45	7884.3	18.76	time
n17	1957.8	3192.8	4024.1	4063.04	5056.9	5812.9	19.19	time
n18	1957.8	3209.57	4062.45	3963.58	4601.55	5875.2	19.82	time
n19	1957.8	3049.65	3830.7	3798.41	4217.9	5875.2	20.05	time
n20	1957.8	3099.43	3683.75	3713.41	4212.8	5875.2	20.63	time
n15	21	62	80	92.47	137.5	174	1387	nBins
n16	20	62	88	86.69	119	162	1387	nBins
n17	20	64	79	81.59	107	139	1387	nBins
n18	20	58.25	71	77.06	102.25	147	1387	nBins
n19	20	52	71	73	96	146	1387	nBins
n20	20	49.5	64	69.35	81.25	144	1387	nBins
