nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	1763.9	25231.8	35849.1	34045.65	41265.65	70622.2	510.68	distance
n16	1763.9	23650.7	35680.75	33320.72	40706.37	61520.4	533.13	distance
n17	1763.9	23272	35526.8	32008.95	38089.1	61153.5	544.15	distance
n18	1763.9	23231.57	33659.15	30803.08	37829.37	60352.4	554.46	distance
n19	1763.9	23245.05	34312.3	30029.21	37195.85	45391.5	570.55	distance
n20	1763.9	21774.97	30095.6	28831.35	37687.77	45454.7	576.63	distance
n15	201.9	3333.55	4465.9	4655.17	5741.5	10393.7	19.4	time
n16	201.9	3086.02	4766.25	4556.61	5522.63	9297.7	20.25	time
n17	201.9	3084	4619.9	4344.86	5325.4	9199.8	20.52	time
n18	201.9	2951.4	4448.05	4173.71	5126.75	9058.9	20.87	time
n19	201.9	2995.6	4460.4	4054.66	5166.8	6295.9	21.4	time
n20	201.9	2838.37	4129.25	3878.76	5106.75	6306.1	21.55	time
n15	10	82	126	117.33	143.5	267	1760	nBins
n16	10	62.75	122	110	137	228	1760	nBins
n17	10	63	119	103.53	132	222	1760	nBins
n18	10	56.25	108	97.78	127.25	215	1760	nBins
n19	10	58.5	103	92.63	122.5	143	1760	nBins
n20	10	61	102.5	88	119.5	130	1760	nBins
