nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	24309.1	27881.3	33154.4	33048.17	37192.55	42937.3	495.72	distance
n16	22275.4	27363.97	30481.6	31720.62	35489.6	42599.4	507.53	distance
n17	23333.8	26208.4	30113.5	30741.69	35191.7	42291.7	522.61	distance
n18	23250.3	25941.82	28401.3	29559.33	33839.97	41326.5	532.07	distance
n19	21793.4	25255.35	28208.4	29058.52	32227.15	40858	552.11	distance
n20	21059	24992.32	27283	28485.09	32670.2	40554.2	569.7	distance
n15	3370.3	3827.1	4348.5	4474.99	5015.15	5966.7	18.65	time
n16	3205.3	3743.8	4139.55	4297.11	4640.52	5808	19.1	time
n17	3212.1	3642.8	3989.1	4140.89	4643.9	5718.1	19.55	time
n18	3207	3471.63	3854.15	4005.92	4474.97	5641.3	20.03	time
n19	2910.6	3406.6	3765.1	3910.12	4299.8	5608.7	20.64	time
n20	2848.3	3335.8	3601.95	3810.18	4120.47	5612.8	21.17	time
n15	92	92	92	92.47	92	99	1387	nBins
n16	86	86	86	86.69	86	97	1387	nBins
n17	81	81	81	81.59	81	91	1387	nBins
n18	77	77	77	77.06	77	78	1387	nBins
n19	73	73	73	73	73	73	1387	nBins
n20	69	69	69	69.35	69	76	1387	nBins
