nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	26328.2	30438.85	36776.3	35651.81	40524.9	43428.9	534.78	distance
n16	23563	31789.8	35138.05	34579.86	38393.13	42897.2	553.28	distance
n17	23664	28987.1	33927	33213.13	37093.3	42323	564.62	distance
n18	21435.8	28097.77	33341.9	32090.03	35552.82	40379.7	577.62	distance
n19	21210.4	26369.1	31161.9	31167.33	35235.8	39462.8	592.18	distance
n20	21890.4	28290.32	30309.2	30551.08	34799.27	36629.5	611.02	distance
n15	3628.9	4165.15	4960.5	4901.69	5512.25	5923.2	20.42	time
n16	3294.1	4351.28	4723.3	4712.19	5269.97	6005.1	20.94	time
n17	3344.7	3941.9	4563.2	4547.58	5071.6	5807.3	21.47	time
n18	2961.4	3749.55	4368.9	4318.16	4892.93	5343.6	21.59	time
n19	2907.5	3763.45	4276.4	4217.26	4824	5253	22.26	time
n20	3074.4	3831.25	4166.7	4123.91	4724.45	5033.7	22.91	time
n15	117	117	117	117.33	117	122	1760	nBins
n16	110	110	110	110	110	110	1760	nBins
n17	103	103	103	103.53	103	112	1760	nBins
n18	97	97	97	97.78	97	111	1760	nBins
n19	92	92	92	92.63	92	104	1760	nBins
n20	88	88	88	88	88	88	1760	nBins
