nClusters	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	total	type
n15	25406.6	29789	31785.7	33379.21	35952.6	44774.4	500.69	distance
n16	28958.9	31910.95	33605.95	35130.08	38083.42	45260	562.08	distance
n17	25850	29107.6	30479.7	32705.83	35454.3	44014.9	556	distance
n18	23175.4	27860.95	28797.1	30495.31	33994.77	40489.2	548.92	distance
n19	23695	26822.3	30480.6	30886.43	33389.9	43148.8	586.84	distance
n20	21769.3	25876.65	27951.05	29272.4	31587.47	39529.8	585.45	distance
n15	3421.6	3967.85	4312.6	4489.91	4924.3	6093.4	18.71	time
n16	3798.8	4191.5	4513	4706.99	5214.97	6169.8	20.92	time
n17	3509.3	3902.5	4089.5	4400.04	4843.8	6031.6	20.78	time
n18	3056.6	3548.42	3910.3	4080.26	4594.95	5701.2	20.4	time
n19	3215.6	3679.15	4083.7	4163.15	4524	5989.8	21.97	time
n20	2824.2	3483.4	3754.5	3912.45	4304.85	5475.3	21.74	time
n15	86	93	93	92.47	93	93	1387	nBins
n16	82	87	87	86.69	87	87	1387	nBins
n17	77	82	82	81.59	82	82	1387	nBins
n18	69	78	78	77.06	78	78	1387	nBins
n19	73	73	73	73	73	73	1387	nBins
n20	62	69.75	70	69.35	70	70	1387	nBins
